iter	RMSE
0	1.950874733
1	1.909513525
2	1.870492668
3	1.831759006
4	1.79448416
5	1.759134654
6	1.725181169
7	1.692203247
8	1.660003199
9	1.628986899
10	1.599511612
11	1.571180815
12	1.543849015
13	1.517153354
14	1.491569014
15	1.467237121
16	1.442846577
17	1.419672084
18	1.397835003
19	1.37657759
20	1.35588676
21	1.335946597
22	1.317007913
23	1.298705886
24	1.281276653
25	1.264469886
26	1.24838314
27	1.232923804
28	1.217766284
29	1.203026939
30	1.18921038
31	1.176057767
32	1.163321364
33	1.151258703
34	1.139183532
35	1.127900123
36	1.116978142
37	1.106699259
38	1.096488186
39	1.086702148
40	1.077426293
41	1.068747976
42	1.060195629
43	1.052222802
44	1.044325375
45	1.036740851
46	1.029433393
47	1.02288055
48	1.016117001
49	1.009919605
50	1.004005778
51	0.9985070126
52	0.9930277867
53	0.9878480916
54	0.9826009554
55	0.9778917375
56	0.9732589892
57	0.9687942044
58	0.9644162098
59	0.9600531494
60	0.9561179418
61	0.9525913756
62	0.9490702071
63	0.9456805323
64	0.9425524306
65	0.9391858273
66	0.9361902603
67	0.9334765535
68	0.9305918653
69	0.9277945169
70	0.9253514961
71	0.9228799401
72	0.9205338832
73	0.9183756215
74	0.9161928212
75	0.914208571
76	0.9122363271
77	0.9104695788
78	0.9086208141
79	0.9068920689
80	0.9052475362
81	0.9036269445
82	0.9019924235
83	0.9006028846
84	0.8992151875
85	0.8978035375
86	0.8965088012
87	0.8952825007
88	0.8940849089
89	0.8929698468
90	0.8918656823
91	0.8908442785
92	0.889970539
93	0.8890233681
94	0.8880683245
95	0.8871761386
96	0.8864276347
97	0.8856240016
98	0.8849060913
99	0.8841822675
100	0.8835068832
101	0.8828010107
102	0.8821652173
103	0.8815355331
104	0.8809408031
105	0.8803403773
106	0.8797644207
107	0.8792568735
108	0.878725388
109	0.8782032258
110	0.8777644911
111	0.8773327319
112	0.8768871752
113	0.8764452118
114	0.8760786419
115	0.8757335119
116	0.875371038
117	0.8749643276
118	0.8745682728
119	0.8742502719
120	0.8739196244
121	0.8736433079
122	0.8733323872
123	0.8730683268
124	0.8728166801
125	0.8725055522
126	0.8722403585
127	0.8719988332
128	0.8717769348
129	0.8715636794
130	0.8713692283
131	0.8711583445
132	0.8709639151
133	0.8707563807
134	0.870588471
135	0.8704195769
136	0.870245248
137	0.8700689191
138	0.8698827304
139	0.8697413153
140	0.8696190656
141	0.8694661262
142	0.8693023449
143	0.8691845795
144	0.8690093602
145	0.8688881085
146	0.8687574056
147	0.8686294821
148	0.8684811359
149	0.8683665898
150	0.868261453
151	0.8681327715
152	0.8680322236
153	0.8679491807
154	0.8678327289
155	0.8677455786
156	0.8676410617
157	0.8675403656
158	0.8674558554
159	0.8673761778
160	0.867293906
161	0.8672182396
162	0.8671481524
163	0.8670811232
164	0.8670240436
165	0.866966009
166	0.8669155174
167	0.8668499425
168	0.8667992117
169	0.8667349864
170	0.8666831343
171	0.8666208456
172	0.8665761259
173	0.8665267997
174	0.8664825237
175	0.866442519
176	0.8663955424
177	0.8663262487
178	0.8662867881
179	0.8662084582
180	0.8661664883
181	0.8661279963
182	0.8660671659
183	0.8660133878
184	0.8659848585
185	0.8659495784
186	0.8659143211
187	0.8658865266
188	0.865852795
189	0.8658227651
190	0.8657865492
191	0.8657643645
192	0.8657249147
193	0.865696585
194	0.8656655048
195	0.8656351554
196	0.8656002415
197	0.8655488344
198	0.8655049676
199	0.8654727768
200	0.8654429169
201	0.8654119366
202	0.8653790972
203	0.8653411826
204	0.865315962
205	0.8652837918
206	0.8652528099
207	0.8651996666
208	0.8651833354
209	0.8651554947
210	0.8651275081
211	0.8651092397
212	0.8650714934
213	0.865059052
214	0.8650401514
215	0.8650127923
216	0.8649994533
217	0.8649743257
218	0.8649539088
219	0.8649259513
220	0.8649100164
221	0.8648888161
222	0.8648581273
223	0.8648281062
224	0.8648022103
225	0.8647629363
226	0.8647208299
227	0.8647058162
228	0.8646905082
229	0.8646726251
230	0.8646593373
231	0.8646367289
232	0.8646140013
233	0.8646022349
234	0.8645751376
235	0.864545873
236	0.8645307606
237	0.8644988267
238	0.8644879459
239	0.864469297
240	0.8644431041
241	0.8644254244
242	0.8644134066
243	0.8643995377
244	0.8643892907
245	0.8643775092
246	0.8643665484
247	0.8643516719
248	0.8643244157
249	0.8643030939
250	0.8642949064
251	0.8642790225
252	0.8642505966
253	0.8642397921
254	0.8642171677
255	0.8641952118
256	0.8641835963
257	0.8641637389
258	0.8641480638
259	0.8641369483
260	0.8641258145
261	0.8641144475
262	0.8640880467
263	0.8640635585
264	0.8640455189
265	0.8640346583
266	0.8640279677
267	0.864015977
268	0.8639946572
269	0.8639841661
270	0.8639783032
271	0.8639564445
272	0.8639327921
273	0.8639180145
274	0.8639004797
275	0.8638873173
276	0.863876936
277	0.8638656605
278	0.8638469366
279	0.8638294886
280	0.863811773
281	0.8638036814
282	0.8637941181
283	0.8637883744
284	0.863782245
285	0.8637714948
286	0.8637598009
287	0.8637447726
288	0.8637332329
289	0.8637247456
290	0.8637059609
291	0.8636860727
292	0.8636689809
293	0.863653676
294	0.8636343272
295	0.8636181851
296	0.8636103566
297	0.8636025556
298	0.8635834577
299	0.8635614083
300	0.8635554352
301	0.8635434999
302	0.8635382199
303	0.8635262549
304	0.8635212954
305	0.8635082814
306	0.8635007829
307	0.8634965835
308	0.8634882184
309	0.8634798281
310	0.8634656781
311	0.8634603452
312	0.8634453622
313	0.8634248191
314	0.8634094656
315	0.8633985955
316	0.8633904314
317	0.863373737
318	0.8633639555
319	0.8633535235
320	0.8633435677
321	0.863337282
322	0.8633235278
323	0.8633170158
324	0.8633082189
325	0.8632906505
326	0.8632833725
327	0.8632745658
328	0.8632548443
329	0.8632399618
330	0.8632285294
331	0.8632153291
332	0.8632097852
333	0.8632029845
334	0.863187122
335	0.863182737
336	0.8631709553
337	0.8631636568
338	0.8631505763
339	0.8631395365
340	0.8631272282
341	0.8631183967
342	0.8630988366
343	0.863087651
344	0.8630736679
345	0.8630654531
346	0.8630511722
347	0.8630406141
348	0.8630220723
349	0.8630111266
350	0.8629914736
351	0.8629770885
352	0.8629664444
353	0.8629513032
354	0.8629357006
355	0.8629232966
356	0.8629100104
357	0.8628993539
358	0.8628872603
359	0.8628701216
360	0.8628545665
361	0.8628485882
362	0.8628356953
363	0.8628294741
364	0.8628148253
365	0.8628075567
366	0.8628030812
367	0.8627951276
368	0.8627853413
369	0.8627742633
370	0.8627610659
371	0.8627500158
372	0.8627345752
373	0.8627257348
374	0.8627168976
375	0.8627114621
376	0.8626936552
377	0.8626827693
378	0.8626752231
379	0.8626681766
380	0.8626542545
381	0.8626473434
382	0.8626332015
383	0.8626268868
384	0.8626140553
385	0.8626067685
386	0.8626019252
387	0.8625909172
388	0.8625817229
389	0.8625742617
390	0.8625654882
391	0.8625590101
392	0.8625511075
393	0.862541146
394	0.8625312874
395	0.8625175335
396	0.8625087537
397	0.8624917305
398	0.8624764703
399	0.862459872
400	0.8624482321
401	0.8624407656
402	0.8624276095
403	0.8624184895
404	0.8624099956
405	0.8624011742
406	0.8623901688
407	0.8623800344
408	0.8623719167
409	0.8623653496
410	0.8623581591
411	0.8623509763
412	0.862340185
413	0.8623311648
414	0.862322293
415	0.8623084389
416	0.8623025306
417	0.862297435
418	0.8622866664
419	0.8622685877
420	0.8622590739
421	0.8622434104
422	0.8622350129
423	0.862228138
424	0.8622109051
425	0.8621954776
426	0.8621855383
427	0.8621777619
428	0.8621645959
429	0.8621537978
430	0.8621442496
431	0.8621363822
432	0.8621246137
433	0.862117362
434	0.8621080945
435	0.8620970221
436	0.8620897889
437	0.8620802636
438	0.8620738383
439	0.8620617941
440	0.862048527
441	0.862041685
442	0.86203067
443	0.8620229732
444	0.8620152186
445	0.8620049409
446	0.8619929281
447	0.861981945
448	0.8619732644
449	0.861961006
450	0.8619527063
451	0.8619393636
452	0.8619309909
453	0.8619210682
454	0.8619093985
455	0.8619012741
456	0.8618929188
457	0.861883049
458	0.8618730486
459	0.8618631666
460	0.8618561303
461	0.8618449169
462	0.861828626
463	0.8618228158
464	0.8618109337
465	0.8617955722
466	0.8617843687
467	0.8617725474
468	0.8617614032
469	0.8617551249
470	0.861749112
471	0.8617391354
472	0.8617322208
473	0.8617239739
474	0.8617172018
475	0.8617013971
476	0.861695623
477	0.8616896264
478	0.8616819202
479	0.8616737962
480	0.861664094
481	0.8616576801
482	0.8616491604
483	0.8616405748
484	0.8616298767
485	0.8616156784
486	0.8616029609
487	0.8615892465
488	0.8615826956
489	0.8615747977
490	0.861563383
491	0.861554053
492	0.8615476506
493	0.8615344528
494	0.8615290542
495	0.8615180773
496	0.861504726
497	0.8614966914
498	0.8614822297
499	0.8614740614
500	0.8614642838
501	0.8614547334
502	0.8614483942
503	0.8614440694
504	0.861436113
505	0.861431393
506	0.8614231305
507	0.8614181058
508	0.8614046147
509	0.8613973405
510	0.8613916106
511	0.8613791318
512	0.86136949
513	0.8613579054
514	0.8613534285
515	0.8613389586
516	0.8613294569
517	0.8613232496
518	0.8613130539
519	0.8613018445
520	0.8612895146
521	0.8612765436
522	0.8612610692
523	0.8612515219
524	0.8612399726
525	0.8612341355
526	0.8612253243
527	0.8612157915
528	0.8612100867
529	0.8612025837
530	0.8611942587
531	0.8611893855
532	0.8611832581
533	0.861176103
534	0.8611678561
535	0.8611531911
536	0.8611396288
537	0.8611300425
538	0.8611225177
539	0.8611153164
540	0.8611072136
541	0.8610979575
542	0.8610904125
543	0.8610814479
544	0.8610722723
545	0.8610674764
546	0.8610588051
547	0.8610504307
548	0.8610407513
549	0.8610351051
550	0.8610258035
551	0.8610180322
552	0.8610105552
553	0.8610006872
554	0.8609918231
555	0.8609835313
556	0.8609719799
557	0.8609630637
558	0.8609517973
559	0.8609432934
560	0.8609353858
561	0.8609288153
562	0.8609185093
563	0.8609091924
564	0.8608948612
565	0.8608838492
566	0.8608734661
567	0.8608679851
568	0.8608605703
569	0.8608505624
570	0.860843983
571	0.8608377854
572	0.8608312343
573	0.8608229165
574	0.8608152056
575	0.8608075898
576	0.8607978471
577	0.8607841397
578	0.8607795673
579	0.8607675849
580	0.8607583049
581	0.8607499368
582	0.8607454932
583	0.8607393114
584	0.8607310523
585	0.8607252255
586	0.8607171009
587	0.8607081428
588	0.8606979263
589	0.8606892513
590	0.860682295
591	0.8606736965
592	0.8606640957
593	0.8606567307
594	0.8606443164
595	0.8606402845
596	0.8606311657
597	0.8606243045
598	0.8606199875
599	0.8606103132
600	0.8606066694
601	0.8605977264
602	0.8605898867
603	0.8605813181
604	0.8605731681
605	0.8605643593
