iter	Passed	Remaining
0	11	23426
1	20	20726
2	30	20124
3	38	19446
4	47	19093
5	58	19464
6	70	20190
7	78	19648
8	87	19333
9	95	19006
10	104	18970
11	113	18741
12	122	18797
13	131	18626
14	142	18812
15	159	19727
16	167	19574
17	175	19374
18	185	19320
19	194	19214
20	203	19209
21	212	19085
22	222	19122
23	231	19019
24	239	18881
25	248	18896
26	256	18776
27	267	18816
28	275	18731
29	284	18685
30	293	18643
31	308	18990
32	318	18979
33	326	18877
34	336	18892
35	345	18859
36	353	18774
37	362	18735
38	370	18644
39	381	18688
40	389	18597
41	400	18669
42	408	18602
43	416	18536
44	426	18548
45	441	18763
46	450	18716
47	460	18727
48	468	18648
49	478	18642
50	487	18642
51	497	18642
52	505	18588
53	514	18523
54	522	18484
55	530	18428
56	540	18413
57	549	18415
58	559	18415
59	569	18413
60	584	18580
61	593	18540
62	601	18501
63	612	18531
64	621	18514
65	629	18456
66	639	18438
67	647	18404
68	657	18386
69	664	18333
70	674	18332
71	683	18290
72	692	18283
73	700	18237
74	708	18195
75	723	18316
76	731	18264
77	741	18282
78	750	18246
79	759	18220
80	768	18214
81	776	18165
82	784	18126
83	792	18077
84	802	18073
85	810	18032
86	821	18061
87	829	18027
88	838	18001
89	848	18008
90	862	18088
91	872	18088
92	881	18073
93	889	18029
94	897	17997
95	905	17968
96	914	17944
97	922	17894
98	932	17907
99	940	17869
100	950	17879
101	958	17840
102	967	17812
103	975	17790
104	983	17758
105	1000	17871
106	1008	17841
107	1017	17829
108	1026	17799
109	1034	17769
110	1042	17737
111	1050	17701
112	1058	17683
113	1067	17652
114	1078	17673
115	1086	17640
116	1094	17612
117	1102	17579
118	1111	17564
119	1119	17541
120	1130	17549
121	1182	18196
122	1215	18549
123	1235	18684
124	1286	19299
125	1303	19381
126	1320	19479
127	1339	19588
128	1359	19719
129	1377	19815
130	1386	19788
131	1394	19739
132	1402	19693
133	1411	19653
134	1420	19623
135	1428	19580
136	1439	19580
137	1447	19530
138	1455	19489
139	1464	19459
140	1472	19415
141	1481	19381
142	1490	19361
143	1498	19315
144	1508	19294
145	1516	19252
146	1532	19320
147	1540	19272
148	1547	19227
149	1558	19216
150	1567	19196
151	1575	19154
152	1583	19119
153	1591	19077
154	1600	19047
155	1607	19007
156	1617	18987
157	1625	18949
158	1636	18943
159	1644	18908
160	1653	18886
161	1666	18912
162	1675	18886
163	1685	18870
164	1692	18827
165	1702	18810
166	1712	18795
167	1723	18790
168	1731	18762
169	1739	18724
170	1749	18707
171	1756	18671
172	1766	18651
173	1773	18616
174	1782	18593
175	1791	18561
176	1803	18580
177	1815	18583
178	1823	18546
179	1832	18529
180	1840	18493
181	1848	18461
182	1856	18428
183	1864	18397
184	1871	18361
185	1880	18344
186	1889	18314
187	1900	18313
188	1908	18291
189	1916	18260
190	1925	18236
191	1932	18201
192	1948	18242
193	1957	18220
194	1964	18188
195	1973	18161
196	1981	18138
197	1990	18114
198	1998	18084
199	2007	18070
200	2015	18041
201	2025	18024
202	2033	18000
203	2041	17974
204	2049	17943
205	2057	17917
206	2065	17888
207	2074	17876
208	2091	17924
209	2099	17896
210	2107	17870
211	2115	17842
212	2123	17812
213	2130	17782
214	2140	17770
215	2148	17742
216	2157	17724
217	2165	17701
218	2175	17695
219	2184	17671
220	2191	17641
221	2200	17627
222	2208	17598
223	2221	17614
224	2232	17608
225	2239	17582
226	2248	17560
227	2255	17531
228	2265	17519
229	2274	17503
230	2284	17496
231	2292	17471
232	2301	17451
233	2308	17425
234	2317	17403
235	2325	17378
236	2334	17365
237	2342	17339
238	2351	17327
239	2365	17344
240	2374	17327
241	2382	17308
242	2390	17281
243	2399	17271
244	2410	17269
245	2420	17255
246	2428	17233
247	2435	17207
248	2444	17189
249	2452	17164
250	2461	17149
251	2468	17125
252	2479	17123
253	2487	17098
254	2502	17124
255	2511	17108
256	2519	17084
257	2528	17074
258	2537	17056
259	2546	17043
260	2554	17022
261	2562	16999
262	2571	16980
263	2580	16967
264	2589	16954
265	2597	16930
266	2606	16915
267	2613	16892
268	2622	16874
269	2631	16858
270	2644	16874
271	2653	16856
272	2663	16846
273	2672	16836
274	2680	16816
275	2690	16807
276	2701	16802
277	2711	16793
278	2722	16792
279	2729	16769
280	2740	16767
281	2749	16753
282	2758	16733
283	2767	16720
284	2781	16737
285	2789	16718
286	2798	16701
287	2806	16684
288	2815	16671
289	2825	16659
290	2835	16649
291	2843	16630
292	2851	16615
293	2860	16598
294	2870	16592
295	2879	16575
296	2886	16552
297	2894	16533
298	2903	16517
299	2919	16545
300	2930	16541
301	2939	16526
302	2947	16510
303	2956	16492
304	2965	16480
305	2973	16460
306	2982	16445
307	2990	16425
308	3000	16418
309	3008	16399
310	3017	16384
311	3025	16367
312	3032	16345
313	3040	16327
314	3051	16321
315	3065	16337
316	3075	16330
317	3084	16315
318	3093	16300
319	3101	16281
320	3110	16267
321	3117	16248
322	3127	16237
323	3135	16218
324	3143	16201
325	3151	16184
326	3161	16176
327	3169	16155
328	3179	16146
329	3197	16181
330	3206	16166
331	3214	16148
332	3222	16132
333	3230	16112
334	3239	16101
335	3247	16082
336	3258	16077
337	3265	16058
338	3274	16042
339	3282	16024
340	3290	16010
341	3298	15991
342	3308	15984
343	3317	15970
344	3326	15956
345	3339	15965
346	3348	15951
347	3356	15934
348	3366	15923
349	3374	15907
350	3385	15907
351	3393	15887
352	3402	15873
353	3409	15855
354	3418	15840
355	3427	15828
356	3437	15819
357	3445	15803
358	3454	15790
359	3463	15776
360	3519	15980
361	3541	16023
362	3592	16199
363	3624	16289
364	3648	16344
365	3666	16367
366	3683	16388
367	3707	16440
368	3717	16433
369	3726	16416
370	3735	16401
371	3745	16390
372	3752	16369
373	3762	16358
374	3770	16339
375	3779	16322
376	3787	16303
377	3796	16292
378	3804	16273
379	3815	16266
380	3823	16247
381	3831	16227
382	3839	16211
383	3855	16223
384	3865	16216
385	3875	16205
386	3883	16186
387	3891	16169
388	3899	16150
389	3910	16142
390	3918	16123
391	3926	16105
392	3934	16086
393	3942	16069
394	3950	16051
395	3959	16039
396	3967	16020
397	3977	16010
398	3991	16016
399	4002	16010
400	4011	15994
401	4019	15978
402	4027	15962
403	4037	15949
404	4045	15933
405	4053	15915
406	4061	15895
407	4069	15879
408	4077	15859
409	4086	15847
410	4095	15833
411	4104	15821
412	4113	15805
413	4127	15812
414	4135	15796
415	4143	15778
416	4153	15765
417	4160	15747
418	4170	15737
419	4179	15722
420	4190	15716
421	4198	15700
422	4206	15682
423	4215	15667
424	4222	15649
425	4233	15641
426	4241	15624
427	4250	15610
428	4265	15618
429	4272	15601
430	4283	15592
431	4292	15579
432	4301	15568
433	4309	15549
434	4317	15533
435	4325	15516
436	4333	15500
437	4342	15484
438	4351	15474
439	4362	15468
440	4371	15452
441	4380	15439
442	4389	15427
443	4403	15430
444	4412	15419
445	4420	15401
446	4430	15393
447	4438	15377
448	4447	15363
449	4456	15351
450	4465	15336
451	4476	15331
452	4484	15313
453	4493	15301
454	4501	15285
455	4509	15269
456	4517	15253
457	4527	15244
458	4541	15248
459	4550	15234
460	4560	15223
461	4568	15206
462	4577	15197
463	4585	15181
464	4594	15168
465	4604	15157
466	4614	15146
467	4625	15140
468	4638	15143
469	4646	15126
470	4656	15114
471	4663	15097
472	4678	15102
473	4687	15089
474	4694	15072
475	4703	15059
476	4711	15042
477	4721	15033
478	4730	15021
479	4740	15010
480	4749	14999
481	4758	14987
482	4767	14974
483	4776	14959
484	4785	14949
485	4793	14932
486	4802	14919
487	4816	14922
488	4824	14908
